标签,疾病名字,top10
130,结肠息肉,结肠息肉 心脏神经症 直肠息肉 胃炎 颈动脉硬化 肾小球肾炎 高血压 高脂血症 室间隔缺损 短暂性脑缺血发作
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 颈动脉硬化 肥厚性心肌病 冠状动脉狭窄 高血压 主动脉夹层 心律失常 心脏神经症 原发性醛固酮增多症 神经痛
120,糖尿病,糖尿病 高脂血症 腹部良性肿瘤 风湿性心脏病 炎症后肺间质纤维化 结肠息肉 视神经脊髓炎 直肠息肉 皮层下动脉硬化性脑病 胃息肉
72,急性胰腺炎,急性胰腺炎 肺原位癌 胆石症 甲状腺炎 肺脓肿 主动脉夹层 胆道感染 痛风 急性腹膜炎 胃炎
114,睡眠呼吸暂停低通气综合征,睡眠呼吸暂停低通气综合征 鼾症 腹部良性肿瘤 骨质疏松 肾结核 胆囊息肉 直肠脱垂 风湿性心脏病 乳腺恶性肿瘤 主动脉瓣狭窄
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 高脂血症 冠状动脉狭窄 高血压 心脏神经症 冠状动脉瘘 肥厚性心肌病 血管迷走性晕厥 胃食管反流 支气管哮喘
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 冠状动脉狭窄 主动脉夹层 心律失常 上消化道出血 心力衰竭 颈动脉硬化 胸腔积液 脑卒中 肺栓塞
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 颈动脉硬化 心力衰竭 高血压 肥厚性心肌病 肺栓塞 房间隔缺损 胸腔积液 心律失常 冠状动脉狭窄
188,脑卒中,脑卒中 帕金森病 胰腺恶性肿瘤 腹部恶性肿瘤 冠状动脉粥样硬化性心脏病 膀胱结石 前列腺增生 短暂性脑缺血发作 前列腺恶性肿瘤 输尿管狭窄
188,脑卒中,短暂性脑缺血发作 高血压 脑卒中 冠状动脉粥样硬化性心脏病 胃息肉 低血压 骨关节病 胰腺恶性肿瘤 食管良性肿瘤 心力衰竭
238,食管恶性肿瘤,食管恶性肿瘤 鞘膜积液 输尿管狭窄 输尿管结石 食管良性肿瘤 胃恶性肿瘤 室间隔缺损 低血压 精索静脉曲张 前列腺增生
162,肾病综合征,肾病综合征 肾小球肾炎 特发性间质性肺炎 慢性肾功能不全 多发性骨髓瘤 肺栓塞 肺曲霉菌病 脑卒中 肺炎 肺脓肿
114,睡眠呼吸暂停低通气综合征,睡眠呼吸暂停低通气综合征 鼾症 脾脏损伤 原发性醛固酮增多症 IgA肾病 高血压 强直性脊柱炎 肠梗阻 脑卒中 帕金森病
148,肺炎,肺恶性肿瘤 结节病 肺炎 支气管恶性肿瘤 细支气管炎 液气胸 肺结核 肺肉芽肿 肺间质纤维化 支气管炎
22,冠状动脉粥样硬化性心脏病,心脏神经症 冠状动脉粥样硬化性心脏病 高脂血症 胃炎 支气管炎 血管迷走性晕厥 高血压 甲状腺功能减退 直肠息肉 胆石症
74,慢性肾功能不全,肾小球肾炎 慢性肾功能不全 颈动脉硬化 多发性骨髓瘤 急性肾衰竭 高血压 肾病综合征 肾动脉狭窄 肺泡蛋白沉着症 低钾血症
83,支气管炎,肺恶性肿瘤 肺肉芽肿 支气管扩张症 细支气管炎 肺炎 支气管炎 肺良性肿瘤 支气管哮喘 慢性阻塞性肺疾病 肺曲霉菌病
142,肺恶性肿瘤,肺炎 慢性阻塞性肺疾病 肺曲霉菌病 肺脓肿 支气管炎 肺结核 支气管哮喘 支气管扩张症 过敏性肺炎 胸腔积液
13,低血压,脑动脉粥样硬化 支气管炎 短暂性脑缺血发作 脑卒中 低血压 胃炎 血小板减少 高血压 上消化道出血 良性阵发性位置性眩晕
164,肾积水,IgA肾病 白血病 颈动脉狭窄 胆石症 肺炎 肝恶性肿瘤 非霍奇金淋巴瘤 胆道感染 肾动脉狭窄 前列腺恶性肿瘤
119,精索静脉曲张,前列腺炎 精索静脉曲张 鞘膜积液 胆囊息肉 肺良性肿瘤 前列腺恶性肿瘤 颈动脉硬化 肾结石 输尿管狭窄 输尿管结石
114,睡眠呼吸暂停低通气综合征,睡眠呼吸暂停低通气综合征 鼾症 小脑扁桃体下疝畸形 颅内损伤 库欣综合征 颅内动脉瘤 肾小球肾炎 脑膜良性肿瘤 急性肾衰竭 病毒性脑膜炎
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 心律失常 肥厚性心肌病 冠状动脉狭窄 颈动脉硬化 心脏神经症 高血压 支气管炎 肺曲霉菌病 高脂血症
104,甲状腺肿,甲状腺肿 甲状腺炎 原发性醛固酮增多症 阿尔茨海默病 脑卒中 IgA肾病 肺原位癌 肺良性肿瘤 肾小球肾炎 胰腺恶性肿瘤
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 肺良性肿瘤 心律失常 扩张型心肌病 气胸 多发性骨髓瘤 腹部恶性肿瘤 室间隔缺损 肥厚性心肌病 颈动脉硬化
2,上消化道出血,上消化道出血 消化性溃疡 下消化道出血 毛细血管扩张症 呼吸衰竭 胃恶性肿瘤 胆囊息肉 胃息肉 小肠恶性肿瘤 结肠息肉
114,睡眠呼吸暂停低通气综合征,睡眠呼吸暂停低通气综合征 胃食管反流 消化性溃疡 结肠息肉 胃炎 胃息肉 慢性阻塞性肺疾病 腹部恶性肿瘤 食管恶性肿瘤 食管贲门黏膜撕裂综合征
148,肺炎,肺恶性肿瘤 胸腔积液 肺炎 肺结核 肺栓塞 支气管炎 肺脓肿 支气管扩张症 特发性间质性肺炎 溃疡性结肠炎
188,脑卒中,脑卒中 颅内动脉瘤 病毒性脑膜炎 主动脉夹层 急性胰腺炎 短暂性脑缺血发作 冠状动脉粥样硬化性心脏病 重症肌无力 颈动脉狭窄 肺脓肿
120,糖尿病,原发性醛固酮增多症 低钾血症 白血病 糖尿病 贫血 甲状腺功能亢进症 肝恶性肿瘤 骨髓增生异常综合征 胃恶性肿瘤 炎性肌病
148,肺炎,白血病 心内膜炎 心包炎 肺炎 肺结核 胸膜炎 呼吸衰竭 病毒性脑膜炎 支气管炎 肺恶性肿瘤
114,睡眠呼吸暂停低通气综合征,睡眠呼吸暂停低通气综合征 胆囊息肉 颈动脉硬化 弥漫性肺间质疾病 主动脉夹层 血管炎 肥厚性心肌病 急性胰腺炎 二尖瓣关闭不全 骨质疏松
85,支气管结核,慢性阻塞性肺疾病 结节病 胸腔积液 支气管扩张症 肺结核 肺曲霉菌病 支气管炎 弥漫性肺间质疾病 细支气管炎 肺炎
213,输尿管结石,输尿管结石 肾结石 高脂血症 胆石症 肠梗阻 急性胰腺炎 胆囊息肉 食管良性肿瘤 输尿管狭窄 结肠息肉
142,肺恶性肿瘤,肺恶性肿瘤 支气管炎 肺良性肿瘤 结节病 肺结核 肺原位癌 胸腔积液 慢性阻塞性肺疾病 支气管扩张症 液气胸
80,支气管哮喘,支气管炎 慢性阻塞性肺疾病 肺恶性肿瘤 支气管哮喘 肺结核 胸腔积液 支气管扩张症 肺间质纤维化 结节病 肺炎
22,冠状动脉粥样硬化性心脏病,高脂血症 冠状动脉粥样硬化性心脏病 心脏神经症 肥厚性心肌病 急性腹膜炎 急性胰腺炎 低血压 食管良性肿瘤 肺脓肿 冠状动脉狭窄
220,阑尾炎,阑尾炎 睾丸扭转 痛风 精索静脉曲张 胃恶性肿瘤 强直性脊柱炎 腹部开放性损伤 消化性溃疡 脾脏损伤 尿道结石
188,脑卒中,脑卒中 良性阵发性位置性眩晕 短暂性脑缺血发作 脑动脉粥样硬化 高脂血症 颈动脉硬化 皮层下动脉硬化性脑病 高血压 糖耐量异常 低血压
22,冠状动脉粥样硬化性心脏病,颈动脉硬化 冠状动脉狭窄 心脏神经症 高血压 主动脉瓣狭窄 冠状动脉粥样硬化性心脏病 高脂血症 肥厚性心肌病 血管迷走性晕厥 胸腔积液
159,肾小球肾炎,肾小球肾炎 IgA肾病 肾病综合征 慢性肾功能不全 高脂血症 特发性间质性肺炎 痛风 短暂性脑缺血发作 颈动脉硬化 胃炎
142,肺恶性肿瘤,前列腺恶性肿瘤 肺恶性肿瘤 乳腺恶性肿瘤 肺良性肿瘤 肺原位癌 腹部良性肿瘤 肺肉芽肿 胃息肉 阿尔茨海默病 脾功能亢进
238,食管恶性肿瘤,食管良性肿瘤 乳腺恶性肿瘤 胃恶性肿瘤 冠状动脉粥样硬化性心脏病 胃息肉 原发性醛固酮增多症 食管恶性肿瘤 肺良性肿瘤 胰腺恶性肿瘤 肝恶性肿瘤
59,心律失常,心律失常 高血压 胃炎 胃食管反流 低钾血症 颈动脉硬化 冠状动脉狭窄 冠状动脉粥样硬化性心脏病 结肠息肉 脑动脉粥样硬化
118,类风湿性关节炎,类风湿性关节炎 强直性脊柱炎 胃炎 甲状腺功能减退 多发性骨髓瘤 冠状动脉狭窄 高脂血症 静脉血栓症 胃食管反流 颈动脉硬化
144,肺栓塞,心力衰竭 肺栓塞 肺源性心脏病 胸腔积液 进行性系统性硬化症 炎性肌病 输尿管狭窄 结节病 肺动脉高压 肺结核
56,心力衰竭,心力衰竭 呼吸衰竭 低血压 高血压 冠状动脉粥样硬化性心脏病 肺栓塞 胸腔积液 贫血 心包积液 支气管哮喘
188,脑卒中,脑卒中 脑动脉粥样硬化 血管迷走性晕厥 颈动脉狭窄 短暂性脑缺血发作 肾动脉狭窄 冠状动脉狭窄 低钾血症 高脂血症 颅内动脉瘤
188,脑卒中,脑卒中 短暂性脑缺血发作 颈动脉硬化 肾结石 颈动脉狭窄 主动脉瓣关闭不全 二尖瓣关闭不全 慢性肾功能不全 前列腺恶性肿瘤 直肠息肉
59,心律失常,心律失常 冠状动脉狭窄 低血压 冠状动脉粥样硬化性心脏病 肥厚性心肌病 甲状腺功能减退 脑动脉粥样硬化 血管迷走性晕厥 支气管炎 短暂性脑缺血发作
59,心律失常,心律失常 白血病 肥厚性心肌病 低钾血症 室间隔缺损 主动脉瓣关闭不全 颈动脉硬化 肝恶性肿瘤 骨髓增生异常综合征 胃恶性肿瘤
76,慢性阻塞性肺疾病,支气管扩张症 支气管哮喘 慢性阻塞性肺疾病 支气管炎 肺恶性肿瘤 胸腔积液 肺结核 结节病 高脂血症 液气胸
22,冠状动脉粥样硬化性心脏病,心律失常 高血压 冠状动脉狭窄 主动脉瓣狭窄 颈动脉硬化 肥厚性心肌病 房间隔缺损 冠状动脉粥样硬化性心脏病 直肠脱垂 高脂血症
188,脑卒中,脑卒中 皮层下动脉硬化性脑病 短暂性脑缺血发作 冠状动脉粥样硬化性心脏病 癫痫 心力衰竭 颅内动脉瘤 颈动脉硬化 肺肉芽肿 痛风
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 冠状动脉狭窄 主动脉夹层 颈动脉硬化 肺脓肿 胰腺恶性肿瘤 扩张型心肌病 高血压 肥厚性心肌病 植物神经功能紊乱
120,糖尿病,颈动脉狭窄 前列腺恶性肿瘤 糖尿病 IgA肾病 肝恶性肿瘤 胰腺恶性肿瘤 肾动脉狭窄 肾结石 膀胱炎 腹部恶性肿瘤
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 低血压 胰腺恶性肿瘤 腹部恶性肿瘤 肝恶性肿瘤 胃恶性肿瘤 房间隔缺损 心力衰竭 心脏神经症 颈动脉硬化
148,肺炎,肾病综合征 IgA肾病 肾小球肾炎 慢性肾功能不全 静脉血栓症 前列腺炎 急性肾衰竭 原发性醛固酮增多症 急性腹膜炎 胆囊息肉
148,肺炎,肺炎 细支气管炎 支气管炎 病毒性脑膜炎 病毒性肺炎 呼吸衰竭 肺间质纤维化 肺脓肿 非霍奇金淋巴瘤 甲状腺炎
35,呼吸衰竭,职业性过敏性肺泡炎 血管炎 病毒性脑膜炎 多发性骨髓瘤 脑炎 进行性系统性硬化症 血小板减少 阑尾炎 急性腹膜炎 甲状腺炎
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 颈动脉硬化 高脂血症 冠状动脉狭窄 甲状腺功能减退 高血压 皮层下动脉硬化性脑病 心脏神经症 糖耐量异常 短暂性脑缺血发作
76,慢性阻塞性肺疾病,慢性阻塞性肺疾病 支气管扩张症 支气管炎 胸腔积液 肺炎 肺结核 细支气管炎 肺间质纤维化 液气胸 血管炎
148,肺炎,肺炎 呼吸衰竭 支气管炎 肺良性肿瘤 肺泡蛋白沉着症 细支气管炎 支气管扩张症 肺脓肿 肺结核 过敏性肺炎
148,肺炎,肺炎 支气管炎 细支气管炎 呼吸衰竭 炎症后肺间质纤维化 肺间质纤维化 慢性阻塞性肺疾病 支气管扩张症 肺结核 病毒性肺炎
72,急性胰腺炎,急性胰腺炎 急性腹膜炎 胆石症 胰腺恶性肿瘤 胆道感染 胃息肉 胃恶性肿瘤 消化性溃疡 脾功能亢进 食管良性肿瘤
107,痛风,胃炎 痛风 脑卒中 高血压 短暂性脑缺血发作 冠状动脉狭窄 冠状动脉粥样硬化性心脏病 肥厚性心肌病 高脂血症 肾动脉狭窄
114,睡眠呼吸暂停低通气综合征,睡眠呼吸暂停低通气综合征 鼾症 脾脏损伤 主动脉夹层 支气管哮喘 原发性醛固酮增多症 呼吸衰竭 肠梗阻 慢性阻塞性肺疾病 主动脉瓣关闭不全
112,直肠息肉,贫血 结肠息肉 直肠息肉 骨关节病 前列腺恶性肿瘤 胆囊息肉 腹部恶性肿瘤 胃息肉 上消化道出血 尿道结石
76,慢性阻塞性肺疾病,慢性阻塞性肺疾病 肺间质纤维化 肺恶性肿瘤 支气管哮喘 胸腔积液 急性胰腺炎 支气管炎 肺曲霉菌病 支气管扩张症 气胸
59,心律失常,心律失常 冠状动脉粥样硬化性心脏病 肺脓肿 心肌炎 冠状动脉狭窄 颈动脉硬化 脑动脉粥样硬化 高脂血症 支气管炎 颈动脉狭窄
45,小脑扁桃体下疝畸形,小脑扁桃体下疝畸形 贫血 骨关节病 神经痛 乳腺恶性肿瘤 腹部良性肿瘤 阑尾炎 肺良性肿瘤 胃息肉 睾丸扭转
22,冠状动脉粥样硬化性心脏病,主动脉夹层 冠状动脉粥样硬化性心脏病 扩张型心肌病 心律失常 血管炎 多发性骨髓瘤 慢性阻塞性肺疾病 脑动脉炎 高血压 冠状动脉狭窄
198,腹部恶性肿瘤,乳腺恶性肿瘤 肝恶性肿瘤 颈动脉狭窄 腹部恶性肿瘤 神经痛 肾积水 小脑扁桃体下疝畸形 胰腺恶性肿瘤 IgA肾病 白血病
188,脑卒中,脑卒中 颈动脉硬化 前列腺恶性肿瘤 鞘膜积液 短暂性脑缺血发作 颅内损伤 肾结石 颈动脉狭窄 胆囊息肉 支气管恶性肿瘤
221,阻塞性肺气肿,支气管哮喘 慢性阻塞性肺疾病 细支气管炎 肺曲霉菌病 支气管扩张症 支气管炎 肺良性肿瘤 肺肉芽肿 肺泡蛋白沉着症 肺栓塞
188,脑卒中,脑卒中 贫血 短暂性脑缺血发作 脑动脉粥样硬化 帕金森病 骨关节病 风湿性心脏病 皮层下动脉硬化性脑病 高血压 胃息肉
188,脑卒中,脑卒中 短暂性脑缺血发作 颈动脉狭窄 肺恶性肿瘤 肺良性肿瘤 肺结核 肾盂肾炎 支气管炎 胆石症 主动脉瓣狭窄
59,心律失常,心律失常 腹部恶性肿瘤 风湿性二尖瓣狭窄伴关闭不全 房间隔缺损 炎性肌病 主动脉瓣狭窄 冠状动脉粥样硬化性心脏病 心力衰竭 颈动脉硬化 胃食管反流
59,心律失常,颈动脉狭窄 低血压 肾动脉狭窄 脑动脉粥样硬化 心律失常 冠状动脉狭窄 高血压 颈动脉硬化 上消化道出血 冠状动脉粥样硬化性心脏病
82,支气管扩张症,炎症后肺间质纤维化 慢性阻塞性肺疾病 支气管扩张症 呼吸衰竭 肺曲霉菌病 支气管哮喘 肺恶性肿瘤 支气管炎 肺间质纤维化 肺脓肿
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 血管迷走性晕厥 胃食管反流 冠状动脉狭窄 胃炎 颈动脉硬化 心脏神经症 腹内疝 骨质疏松 支气管炎
59,心律失常,扩张型心肌病 冠状动脉粥样硬化性心脏病 冠状动脉狭窄 心律失常 室间隔缺损 肺栓塞 主动脉夹层 主动脉瓣狭窄 二尖瓣关闭不全 心力衰竭
188,脑卒中,脑卒中 胃炎 短暂性脑缺血发作 甲状腺功能减退 高脂血症 脑动脉粥样硬化 癫痫 高血压 直肠息肉 慢性阻塞性肺疾病
149,肺结核,支气管哮喘 支气管炎 肺曲霉菌病 肺恶性肿瘤 结节病 细支气管炎 慢性阻塞性肺疾病 肺结核 胸腔积液 支气管扩张症
91,气胸,气胸 液气胸 前列腺恶性肿瘤 静脉血栓症 膀胱炎 膀胱结石 主动脉夹层 食管良性肿瘤 肾结石 急性腹膜炎
76,慢性阻塞性肺疾病,慢性阻塞性肺疾病 支气管炎 支气管扩张症 呼吸衰竭 肺动脉高压 肺结核 胸腔积液 心力衰竭 过敏性肺炎 肺脓肿
176,胆石症,胆石症 胆道感染 肺良性肿瘤 胆囊息肉 肺肉芽肿 急性腹膜炎 肾结核 肠梗阻 肝恶性肿瘤 霍奇金淋巴瘤
188,脑卒中,短暂性脑缺血发作 脑卒中 皮层下动脉硬化性脑病 良性阵发性位置性眩晕 高脂血症 颈动脉硬化 颈动脉狭窄 高血压 脑动脉粥样硬化 输尿管结石
198,腹部恶性肿瘤,胃恶性肿瘤 腹部恶性肿瘤 胰腺恶性肿瘤 急性腹膜炎 肝恶性肿瘤 胆石症 颈动脉狭窄 胆囊息肉 巨球蛋白血症 神经痛
59,心律失常,脑卒中 冠状动脉粥样硬化性心脏病 心力衰竭 短暂性脑缺血发作 慢性阻塞性肺疾病 上消化道出血 肥厚性心肌病 腹部恶性肿瘤 扩张型心肌病 支气管炎
40,多发性骨髓瘤,贫血 多发性骨髓瘤 非霍奇金淋巴瘤 胃炎 胃息肉 胃潴留 霍奇金淋巴瘤 低血压 胸腔积液 胃恶性肿瘤
246,高血压,心律失常 高血压 颅内动脉瘤 脑动静脉畸形 颈动脉硬化 脑膜良性肿瘤 高脂血症 脑动脉粥样硬化 巨球蛋白血症 短暂性脑缺血发作
142,肺恶性肿瘤,肺恶性肿瘤 肺结核 肺炎 支气管炎 胸腔积液 肺间质纤维化 肺脓肿 支气管扩张症 细支气管炎 慢性阻塞性肺疾病
120,糖尿病,糖尿病 高脂血症 肺脓肿 低钾血症 肺曲霉菌病 肺结核 支气管扩张症 上消化道出血 胰腺恶性肿瘤 低血糖症
158,肾动脉狭窄,慢性肾功能不全 颅内损伤 扩张型心肌病 肾积水 主动脉夹层 输尿管狭窄 输尿管结石 肾动脉狭窄 尿道结石 肥厚性心肌病
188,脑卒中,脑卒中 短暂性脑缺血发作 病毒性脑膜炎 急性胰腺炎 高血压 脾脏损伤 高脂血症 心律失常 上消化道出血 重症肌无力
0,IgA肾病,原发性醛固酮增多症 肾动脉狭窄 低钾血症 直肠息肉 胃息肉 结肠息肉 冠状动脉粥样硬化性心脏病 胆石症 静脉血栓症 慢性肾功能不全
188,脑卒中,脑卒中 急性腹膜炎 急性肾衰竭 主动脉夹层 呼吸衰竭 短暂性脑缺血发作 冠状动脉粥样硬化性心脏病 脾脏损伤 原发性醛固酮增多症 上消化道出血
245,高脂血症,肺栓塞 胸腔积液 气胸 高脂血症 液气胸 骨髓增生异常综合征 冠状动脉粥样硬化性心脏病 支气管哮喘 二尖瓣脱垂 风湿性心脏病
0,IgA肾病,肾病综合征 慢性肾功能不全 肾小球肾炎 IgA肾病 急性肾衰竭 静脉血栓症 脾功能亢进 心力衰竭 库欣综合征 甲状腺功能减退
22,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 心脏神经症 颈动脉硬化 高脂血症 冠状动脉狭窄 高血压 血管迷走性晕厥 肥厚性心肌病 胃食管反流 脑动脉粥样硬化
120,糖尿病,肺恶性肿瘤 胸腔积液 肺非结核分枝杆菌病 支气管炎 肺良性肿瘤 前列腺恶性肿瘤 肺原位癌 低血压 肺结核 扩张型心肌病
22,冠状动脉粥样硬化性心脏病,冠状动脉狭窄 支气管炎 胃食管反流 胃炎 慢性阻塞性肺疾病 特发性间质性肺炎 液气胸 上消化道出血 静脉血栓症 骨髓增生异常综合征
74,慢性肾功能不全,慢性肾功能不全 肾小球肾炎 高血压 静脉血栓症 颈动脉硬化 胃炎 肾动脉狭窄 胸腔积液 支气管哮喘 食管良性肿瘤
148,肺炎,肺炎 细支气管炎 支气管炎 急性呼吸窘迫综合征 肺脓肿 呼吸衰竭 支气管恶性肿瘤 非霍奇金淋巴瘤 结节病 胸膜炎
120,糖尿病,胃肠功能紊乱 结肠息肉 皮层下动脉硬化性脑病 胃息肉 直肠息肉 高血压 胃炎 结节病 短暂性脑缺血发作 颈动脉硬化
159,肾小球肾炎,阿尔茨海默病 脾脏损伤 原发性醛固酮增多症 IgA肾病 脑卒中 颅内损伤 前列腺恶性肿瘤 急性肾衰竭 高血压 肾动脉狭窄
148,肺炎,呼吸衰竭 肺炎 肺脓肿 肺结核 支气管炎 慢性阻塞性肺疾病 心内膜炎 胸膜炎 支气管扩张症 心包积液
92,消化性溃疡,上消化道出血 消化性溃疡 下消化道出血 胃恶性肿瘤 急性腹膜炎 胰腺恶性肿瘤 胃炎 食管良性肿瘤 肠梗阻 胃息肉
148,肺炎,肺炎 肺良性肿瘤 结节病 淋巴结炎 肺脓肿 支气管炎 血管炎 细支气管炎 炎性肌病 病毒性肺炎
148,肺炎,肺良性肿瘤 腹部恶性肿瘤 肺脓肿 肺肉芽肿 肺炎 肺栓塞 胆道感染 支气管炎 主动脉夹层 胸腔积液
59,心律失常,心律失常 高脂血症 主动脉瓣狭窄 颈动脉硬化 高血压 心脏神经症 血管迷走性晕厥 支气管哮喘 房间隔缺损 胃炎
59,心律失常,心律失常 颈动脉硬化 室间隔缺损 精索静脉曲张 胃炎 心包炎 甲状腺功能亢进症 前列腺炎 冠状动脉狭窄 直肠息肉
92,消化性溃疡,消化性溃疡 上消化道出血 胃恶性肿瘤 下消化道出血 肝恶性肿瘤 颈动脉狭窄 脂肪肝 急性腹膜炎 前列腺炎 烟雾病
232,颈动脉狭窄,颈动脉狭窄 小脑扁桃体下疝畸形 炎性肌病 肝恶性肿瘤 肺良性肿瘤 脑卒中 胃恶性肿瘤 食管恶性肿瘤 短暂性脑缺血发作 前列腺恶性肿瘤
