标签,疾病名字,top1,top3,top5,top8,top10,该类别实际样本数,该类别训练采样数
0.0,IgA肾病,0.66(2/3),0.66(2/3),1.0(3/3),1.0(3/3),1.0(3/3)
53.0,小脑扁桃体下疝畸形,0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3)
54.0,尿潴留,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
56.0,尿道结石,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
58.0,帕金森病,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
59.0,库欣综合征,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
60.0,弥漫性肺泡出血综合征,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
62.0,强直性脊柱炎,0.0(0/6),0.0(0/6),0.33(2/6),0.33(2/6),0.33(2/6)
63.0,心内膜炎,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
64.0,心力衰竭,0.18(7/37),0.27(10/37),0.37(14/37),0.43(16/37),0.43(16/37)
65.0,心包炎,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
67.0,心律失常,0.51(71/137),0.62(86/137),0.72(100/137),0.73(101/137),0.73(101/137)
69.0,心源性晕厥,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
70.0,心源性猝死,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
71.0,心肌损害,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
72.0,心肌炎,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
74.0,心脏神经症,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
75.0,急性呼吸窘迫综合征,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
76.0,急性播散性脑脊髓炎,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
79.0,急性肾衰竭,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
80.0,急性胰腺炎,0.13(4/29),0.20(6/29),0.34(10/29),0.41(12/29),0.41(12/29)
81.0,急性腹膜炎,0.0(0/1),1.0(1/1),1.0(1/1),1.0(1/1),1.0(1/1)
82.0,慢性肾功能不全,0.70(34/48),0.81(39/48),0.83(40/48),0.87(42/48),0.87(42/48)
83.0,慢性腹泻,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
84.0,慢性阻塞性肺疾病,0.18(14/74),0.33(25/74),0.44(33/74),0.48(36/74),0.48(36/74)
85.0,房间隔缺损,0.5(1/2),0.5(1/2),0.5(1/2),0.5(1/2),0.5(1/2)
86.0,扩张型心肌病,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
87.0,抗磷脂综合征,0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3)
88.0,支气管哮喘,0.10(3/28),0.17(5/28),0.28(8/28),0.28(8/28),0.28(8/28)
89.0,支气管恶性肿瘤,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
90.0,支气管扩张症,0.17(8/45),0.33(15/45),0.44(20/45),0.46(21/45),0.46(21/45)
91.0,支气管炎,0.0(0/17),0.23(4/17),0.29(5/17),0.29(5/17),0.29(5/17)
95.0,新生儿高胆红素血症,0.90(29/32),1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32)
96.0,新生儿黄疸,0.23(4/17),0.82(14/17),0.82(14/17),0.82(14/17),0.82(14/17)
98.0,椎-基底动脉供血不全,0.65(23/35),0.8(28/35),0.91(32/35),0.91(32/35),0.91(32/35)
99.0,横纹肌溶解,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
102.0,气胸,0.42(11/26),0.5(13/26),0.61(16/26),0.61(16/26),0.61(16/26)
103.0,消化性溃疡,0.15(3/19),0.26(5/19),0.31(6/19),0.31(6/19),0.31(6/19)
106.0,混合痔,0.81(58/71),0.85(61/71),0.90(64/71),0.90(64/71),0.90(64/71)
107.0,溃疡性结肠炎,0.0(0/4),0.25(1/4),0.25(1/4),0.25(1/4),0.25(1/4)
108.0,炎性肌病,0.0(0/8),0.0(0/8),0.0(0/8),0.0(0/8),0.0(0/8)
111.0,特发性血小板减少性紫癜,0.0(0/1),1.0(1/1),1.0(1/1),1.0(1/1),1.0(1/1)
112.0,特发性间质性肺炎,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
113.0,玻璃体积血,0.44(8/18),0.77(14/18),0.83(15/18),0.83(15/18),0.83(15/18)
114.0,甲状腺功能亢进症,0.33(2/6),0.33(2/6),0.33(2/6),0.33(2/6),0.33(2/6)
115.0,甲状腺功能减退,0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3)
116.0,甲状腺恶性肿瘤,0.43(16/37),0.59(22/37),0.70(26/37),0.78(29/37),0.78(29/37)
117.0,甲状腺炎,0.0(0/4),0.0(0/4),0.0(0/4),0.0(0/4),0.0(0/4)
118.0,甲状腺肿,0.20(6/29),0.58(17/29),0.65(19/29),0.65(19/29),0.65(19/29)
119.0,男性不育症,0.90(20/22),1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22)
121.0,病毒性脑膜炎,0.0(0/4),0.25(1/4),0.25(1/4),0.25(1/4),0.25(1/4)
122.0,痛风,0.0(0/4),0.0(0/4),0.0(0/4),0.25(1/4),0.25(1/4)
124.0,癫癎,0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3)
125.0,白内障,0.97(237/243),0.98(240/243),0.98(240/243),0.99(241/243),0.99(241/243)
126.0,白血病,0.16(1/6),0.16(1/6),0.33(2/6),0.33(2/6),0.33(2/6)
127.0,皮层下动脉硬化性脑病,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
128.0,直肠息肉,0.0(0/7),0.0(0/7),0.0(0/7),0.0(0/7),0.0(0/7)
129.0,直肠脱垂,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
130.0,睡眠呼吸暂停低通气综合征,0.91(89/97),0.93(91/97),0.94(92/97),0.94(92/97),0.94(92/97)
131.0,睾丸扭转,0.0(0/2),0.5(1/2),0.5(1/2),0.5(1/2),0.5(1/2)
132.0,短暂性脑缺血发作,0.0(0/29),0.24(7/29),0.31(9/29),0.31(9/29),0.31(9/29)
133.0,神经痛,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
134.0,类风湿性关节炎,0.29(5/17),0.41(7/17),0.41(7/17),0.52(9/17),0.52(9/17)
135.0,精索静脉曲张,0.38(12/31),0.74(23/31),0.83(26/31),0.83(26/31),0.83(26/31)
136.0,糖尿病,0.71(111/155),0.81(127/155),0.87(136/155),0.87(136/155),0.87(136/155)
138.0,糖耐量异常,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
139.0,系统性血管炎,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
140.0,紧张型头痛,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
141.0,纵隔淋巴结结核,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
143.0,细支气管炎,0.0(0/6),1.0(6/6),1.0(6/6),1.0(6/6),1.0(6/6)
146.0,结肠息肉,0.25(9/36),0.58(21/36),0.66(24/36),0.75(27/36),0.75(27/36)
147.0,结肠良性肿瘤,0.0(0/18),0.38(7/18),0.44(8/18),0.44(8/18),0.44(8/18)
148.0,结节病,0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5)
150.0,肛瘘,0.36(7/19),0.52(10/19),0.68(13/19),0.68(13/19),0.68(13/19)
151.0,肝性脑病,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
152.0,肝恶性肿瘤,0.22(2/9),0.22(2/9),0.55(5/9),0.55(5/9),0.55(5/9)
153.0,肝豆状核变性,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
154.0,肠梗阻,0.0(0/9),0.22(2/9),0.44(4/9),0.44(4/9),0.44(4/9)
155.0,股骨颈骨折,0.52(21/40),0.6(24/40),0.67(27/40),0.72(29/40),0.72(29/40)
156.0,肥厚性心肌病,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
158.0,肩袖损伤,0.77(31/40),0.9(36/40),0.9(36/40),0.9(36/40),0.9(36/40)
160.0,肺动脉高压,0.0(0/5),0.4(2/5),0.4(2/5),0.4(2/5),0.4(2/5)
161.0,肺原位癌,0.0(0/2),0.5(1/2),0.5(1/2),0.5(1/2),0.5(1/2)
162.0,肺恶性肿瘤,0.31(30/95),0.50(48/95),0.58(56/95),0.62(59/95),0.62(59/95)
163.0,肺曲霉菌病,0.0(0/5),0.2(1/5),0.2(1/5),0.2(1/5),0.2(1/5)
164.0,肺栓塞,0.27(5/18),0.44(8/18),0.5(9/18),0.5(9/18),0.5(9/18)
165.0,肺泡蛋白沉着症,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
168.0,肺炎,0.54(115/211),0.71(151/211),0.80(169/211),0.80(170/211),0.80(170/211)
169.0,肺结核,0.11(3/26),0.30(8/26),0.5(13/26),0.53(14/26),0.53(14/26)
171.0,肺脓肿,0.0(0/7),0.0(0/7),0.0(0/7),0.0(0/7),0.0(0/7)
172.0,肺良性肿瘤,0.0(0/5),0.4(2/5),0.6(3/5),0.6(3/5),0.6(3/5)
173.0,肺血管炎,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
175.0,肺部感染,0.0(0/38),0.02(1/38),0.10(4/38),0.13(5/38),0.13(5/38)
176.0,肺间质纤维化,0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5),0.0(0/5)
177.0,肺隐球菌病,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
179.0,肾动脉狭窄,0.0(0/7),0.28(2/7),0.42(3/7),0.42(3/7),0.42(3/7)
180.0,肾小球肾炎,0.28(4/14),0.35(5/14),0.35(5/14),0.35(5/14),0.35(5/14)
181.0,肾恶性肿瘤,0.39(9/23),0.56(13/23),0.73(17/23),0.73(17/23),0.73(17/23)
184.0,肾病综合征,0.56(9/16),0.75(12/16),0.87(14/16),0.93(15/16),0.93(15/16)
185.0,肾盂肾炎,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
186.0,肾积水,0.0(0/12),0.16(2/12),0.16(2/12),0.16(2/12),0.16(2/12)
187.0,肾结核,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
188.0,肾结石,0.09(2/22),0.40(9/22),0.5(11/22),0.54(12/22),0.72(16/22)
189.0,胃息肉,0.12(2/16),0.37(6/16),0.37(6/16),0.43(7/16),0.62(10/16)
190.0,胃恶性肿瘤,0.0(0/8),0.0(0/8),0.0(0/8),0.25(2/8),0.62(5/8)
193.0,胃炎,0.05(1/20),0.05(1/20),0.25(5/20),0.8(16/20),0.8(16/20)
194.0,胃肠功能紊乱,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
195.0,胃肠炎,0.0(0/1),0.0(0/1),0.0(0/1),1.0(1/1),1.0(1/1)
196.0,胃食管反流,0.0(0/8),0.0(0/8),0.0(0/8),0.0(0/8),0.0(0/8)
197.0,胆囊息肉,0.55(10/18),0.77(14/18),0.83(15/18),0.83(15/18),0.83(15/18)
198.0,胆石症,0.5(69/138),0.63(88/138),0.72(100/138),0.73(101/138),0.73(101/138)
200.0,胆道感染,0.0(0/10),0.2(2/10),0.2(2/10),0.2(2/10),0.2(2/10)
201.0,胰腺恶性肿瘤,0.0(0/10),0.1(1/10),0.2(2/10),0.2(2/10),0.2(2/10)
202.0,胸腔积液,0.0(0/11),0.09(1/11),0.18(2/11),0.18(2/11),0.18(2/11)
204.0,胸膜炎,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
205.0,胸膜病变,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
206.0,脂肪肝,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
207.0,脑动脉供血不足,0.05(1/20),0.25(5/20),0.3(6/20),0.3(6/20),0.3(6/20)
208.0,脑动脉炎,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
209.0,脑动脉粥样硬化,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
211.0,脑卒中,0.47(99/209),0.65(137/209),0.67(142/209),0.70(148/209),0.70(148/209)
217.0,脾脏损伤,1.0(1/1),1.0(1/1),1.0(1/1),1.0(1/1),1.0(1/1)
218.0,腰椎管狭窄,0.51(92/180),0.65(118/180),0.68(124/180),0.71(129/180),0.71(129/180)
219.0,腰椎间盘突出,0.31(25/79),0.54(43/79),0.60(48/79),0.62(49/79),0.62(49/79)
220.0,腹内疝,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
221.0,腹外疝,0.93(88/94),0.96(91/94),0.97(92/94),0.97(92/94),0.97(92/94)
224.0,腹部恶性肿瘤,0.25(4/16),0.25(4/16),0.37(6/16),0.62(10/16),0.62(10/16)
225.0,腹部良性肿瘤,0.16(11/65),0.47(31/65),0.63(41/65),0.67(44/65),0.67(44/65)
226.0,腺垂体功能减退症,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
227.0,膀胱恶性肿瘤,0.05(1/17),0.05(1/17),0.29(5/17),0.29(5/17),0.29(5/17)
228.0,膀胱炎,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
229.0,膀胱结石,0.0(0/6),0.0(0/6),0.16(1/6),0.16(1/6),0.16(1/6)
231.0,膝关节前十字韧带完全断裂,0.22(10/45),0.86(39/45),0.86(39/45),0.86(39/45),0.86(39/45)
232.0,膝关节半月板损伤,0.65(65/99),0.81(81/99),0.84(84/99),0.85(85/99),0.85(85/99)
233.0,膝关节病,0.50(44/87),0.70(61/87),0.74(65/87),0.77(67/87),0.77(67/87)
235.0,良性阵发性位置性眩晕,0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3)
236.0,血小板减少,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
238.0,血管炎,0.0(0/4),0.0(0/4),0.0(0/4),0.0(0/4),0.0(0/4)
239.0,血管迷走性晕厥,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
240.0,视神经脊髓炎,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
241.0,视网膜脱离,0.86(33/38),0.97(37/38),1.0(38/38),1.0(38/38),1.0(38/38)
242.0,贫血,0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3)
243.0,跟腱断裂,0.84(16/19),0.89(17/19),0.89(17/19),0.89(17/19),0.89(17/19)
244.0,输卵管积水,0.93(28/30),0.96(29/30),0.96(29/30),0.96(29/30),0.96(29/30)
245.0,输尿管狭窄,0.16(1/6),0.16(1/6),0.33(2/6),0.33(2/6),0.33(2/6)
246.0,输尿管结石,0.09(2/21),0.38(8/21),0.38(8/21),0.38(8/21),0.38(8/21)
247.0,过敏性紫癜,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
248.0,过敏性肺炎,0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3),0.0(0/3)
251.0,重叠综合征,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
252.0,重症肌无力,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
253.0,间质性肺病,0.06(1/15),0.2(3/15),0.26(4/15),0.26(4/15),0.26(4/15)
254.0,阑尾炎,0.66(26/39),0.79(31/39),0.82(32/39),0.84(33/39),0.84(33/39)
255.0,阻塞性肺气肿,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
258.0,陈旧性膝前十字韧带断裂,0.75(79/105),0.93(98/105),0.95(100/105),0.96(101/105),0.96(101/105)
259.0,隐球菌脑膜炎,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
260.0,霍奇金淋巴瘤,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
261.0,静脉血栓症,0.0(0/1),1.0(1/1),1.0(1/1),1.0(1/1),1.0(1/1)
262.0,非霍奇金淋巴瘤,0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2),0.0(0/2)
263.0,鞘膜积液,0.16(1/6),0.16(1/6),0.16(1/6),0.33(2/6),0.33(2/6)
264.0,颅内动脉瘤,0.33(1/3),0.33(1/3),0.33(1/3),0.33(1/3),0.33(1/3)
265.0,颅内损伤,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
267.0,颈动脉狭窄,0.21(3/14),0.42(6/14),0.42(6/14),0.42(6/14),0.42(6/14)
269.0,颈椎病,0.46(115/245),0.65(161/245),0.71(175/245),0.71(176/245),0.71(176/245)
270.0,颈部血管瘤,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
271.0,风湿性二尖瓣狭窄伴关闭不全,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
274.0,食管恶性肿瘤,0.0(0/9),0.0(0/9),0.0(0/9),0.0(0/9),0.0(0/9)
275.0,食管良性肿瘤,0.0(0/4),0.0(0/4),0.0(0/4),0.0(0/4),0.0(0/4)
277.0,骨关节病,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
278.0,骨质疏松,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
279.0,骨髓增生异常综合征,0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1),0.0(0/1)
281.0,高脂血症,0.0(0/3),0.33(1/3),0.33(1/3),0.33(1/3),0.33(1/3)
282.0,高血压,0.05(4/71),0.25(18/71),0.30(22/71),0.35(25/71),0.35(25/71)
284.0,鼻窦炎,0.09(2/21),0.52(11/21),0.57(12/21),0.66(14/21),0.66(14/21)
285.0,鼻窦瘘,0.25(4/16),0.62(10/16),0.62(10/16),0.62(10/16),0.62(10/16)
