标签,疾病名字,top10
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 颈动脉硬化 骨髓增生异常综合征 霍奇金淋巴瘤 液气胸 神经痛 痴呆 房间隔缺损 膝关节病 颈椎病
90,支气管扩张症,慢性阻塞性肺疾病 支气管扩张症 肺血管畸形 细支气管炎 支气管恶性肿瘤 支气管炎 支气管哮喘 肺间质纤维化 肺部感染 喉恶性肿瘤
247,过敏性紫癜,食管良性肿瘤 血管炎 心脏神经症 胆囊息肉 颈动脉硬化 鼻窦瘘 精索静脉曲张 烟雾病 直肠息肉 脑炎
231,膝关节前十字韧带完全断裂,膝关节前十字韧带完全断裂 肩袖损伤 陈旧性膝前十字韧带断裂 膝关节半月板损伤 股骨颈骨折 跟腱断裂 肛瘘 男性不育症 霍奇金淋巴瘤 神经痛
258,陈旧性膝前十字韧带断裂,陈旧性膝前十字韧带断裂 膝关节前十字韧带完全断裂 气胸 腹部开放性损伤 腹内疝 食管良性肿瘤 精索静脉曲张 输尿管狭窄 肾恶性肿瘤 贫血
67,心律失常,心律失常 甲状腺功能亢进症 高血压 输尿管狭窄 食管良性肿瘤 脑卒中 房间隔缺损 抗磷脂综合征 糖耐量异常 低钾血症
243,跟腱断裂,跟腱断裂 子宫内膜息肉 膝关节半月板损伤 混合痔 股骨颈骨折 肩袖损伤 子宫颈上皮内瘤变 骨关节病 神经痛 颅内损伤
241,视网膜脱离,视网膜脱离 玻璃体积血 乳腺良性肿瘤 骨关节病 腹内疝 肺良性肿瘤 食管良性肿瘤 甲状腺肿 胃息肉 鼻窦瘘
269,颈椎病,颈椎病 食管良性肿瘤 输尿管狭窄 IgA肾病 结肠良性肿瘤 精索静脉曲张 痛风 胸腔积液 鼻窦瘘 直肠息肉
198,胆石症,胆石症 胆道感染 胃肠功能紊乱 急性胰腺炎 胃炎 胰腺恶性肿瘤 胃食管反流 贫血 消化性溃疡 胃恶性肿瘤
284,鼻窦炎,鼻窦炎 鼻窦瘘 子宫颈上皮内瘤变 子宫内膜息肉 血管迷走性晕厥 乳腺良性肿瘤 膝关节半月板损伤 卵巢良性肿瘤 心脏神经症 胃息肉
269,颈椎病,颈椎病 甲状腺功能亢进症 食管良性肿瘤 甲状腺炎 输尿管狭窄 重症肌无力 肺良性肿瘤 鼻窦炎 肝豆状核变性 炎症后肺间质纤维化
125,白内障,白内障 小肠良性肿瘤 低血氧症 颈部血管瘤 偏头痛 重叠综合征 玻璃体积血 血管迷走性晕厥 子宫内膜息肉 腹内疝
150,肛瘘,肛瘘 鞘膜积液 腹外疝 颈部血管瘤 腹部开放性损伤 精索静脉曲张 霍奇金淋巴瘤 混合痔 男性不育症 甲状腺恶性肿瘤
25,前列腺增生,前列腺增生 前列腺恶性肿瘤 膀胱炎 输尿管狭窄 肾动脉狭窄 颈动脉狭窄 肾积水 输尿管结石 肾小球肾炎 骨关节病
24,冠状动脉粥样硬化性心脏病,冠状动脉狭窄 冠状动脉粥样硬化性心脏病 肾动脉狭窄 痛风 低血压 颈动脉硬化 高血压 食管良性肿瘤 颈动脉狭窄 扩张型心肌病
211,脑卒中,颈动脉硬化 肾动脉狭窄 鞘膜积液 胃炎 输尿管结石 脑卒中 鼻窦炎 肾恶性肿瘤 颈部血管瘤 直肠息肉
246,输尿管结石,子宫内膜息肉 颅内损伤 食管良性肿瘤 子宫颈上皮内瘤变 颈部血管瘤 混合痔 乳腺恶性肿瘤 肩袖损伤 静脉血栓症 输尿管狭窄
4,下肢静脉曲张,颈动脉硬化 静脉血栓症 低血压 前列腺恶性肿瘤 贫血 下肢静脉曲张 颈动脉狭窄 消化性溃疡 室间隔缺损 胃炎
211,脑卒中,脑卒中 阿尔茨海默病 短暂性脑缺血发作 帕金森病 癫癎 椎-基底动脉供血不全 低血糖症 良性阵发性位置性眩晕 颈动脉硬化 肝豆状核变性
125,白内障,白内障 颈部血管瘤 骨关节病 乳腺良性肿瘤 颅内损伤 骨质疏松 重症肌无力 子宫内膜息肉 乳腺恶性肿瘤 帕金森病
130,睡眠呼吸暂停低通气综合征,男性不育症 睡眠呼吸暂停低通气综合征 精索静脉曲张 尿道损伤 肛瘘 胆石症 植物神经功能紊乱 鼻窦炎 静脉血栓症 颅内损伤
10,乳腺良性肿瘤,液气胸 食管良性肿瘤 股骨颈骨折 乳腺良性肿瘤 神经痛 小肠良性肿瘤 肾积水 腹外疝 混合痔 胃潴留
269,颈椎病,颈椎病 腹部开放性损伤 小脑扁桃体下疝畸形 颈部血管瘤 腰椎间盘突出 睾丸扭转 骨关节病 附睾炎 跟腱断裂 痛风
125,白内障,白内障 尿潴留 玻璃体积血 前列腺炎 颅内损伤 食管良性肿瘤 重症肌无力 帕金森病 急性腹膜炎 前列腺恶性肿瘤
81,急性腹膜炎,上消化道出血 急性腹膜炎 肝性脑病 肝恶性肿瘤 腹部恶性肿瘤 肠梗阻 脾功能亢进 消化性溃疡 腹内疝 胃恶性肿瘤
11,二尖瓣关闭不全,心律失常 胃食管反流 偏头痛 高血压 脑动脉供血不足 甲状腺炎 乳腺良性肿瘤 子宫内膜息肉 胃炎 糖耐量异常
162,肺恶性肿瘤,输尿管狭窄 糖耐量异常 输尿管结石 乳腺良性肿瘤 结节病 肾结石 乳腺恶性肿瘤 颅内动脉瘤 膀胱炎 心脏神经症
263,鞘膜积液,精索静脉曲张 颅内损伤 静脉血栓症 膝关节半月板损伤 鼻窦炎 食管良性肿瘤 鞘膜积液 皮层下动脉硬化性脑病 鼻窦瘘 陈旧性膝前十字韧带断裂
207,脑动脉供血不足,脑动脉供血不足 胃食管反流 胃炎 糖耐量异常 血管迷走性晕厥 甲状腺功能减退 高血压 短暂性脑缺血发作 甲状腺功能亢进症 良性阵发性位置性眩晕
211,脑卒中,脑卒中 帕金森病 颈动脉硬化 肝豆状核变性 食管良性肿瘤 短暂性脑缺血发作 房间隔缺损 肺良性肿瘤 男性不育症 癫癎
211,脑卒中,脑卒中 短暂性脑缺血发作 冠状动脉粥样硬化性心脏病 心肌炎 病毒性肺炎 颈动脉狭窄 贫血 脂肪肝 癫癎 椎-基底动脉供血不全
24,冠状动脉粥样硬化性心脏病,心律失常 肾梗死 主动脉夹层 风湿性二尖瓣狭窄伴关闭不全 肾动脉狭窄 冠状动脉狭窄 心肌炎 心包积液 心力衰竭 急性肾衰竭
88,支气管哮喘,弥漫性肺间质疾病 过敏性肺炎 肺间质纤维化 间质性肺病 颈动脉硬化 特发性间质性肺炎 支气管哮喘 胃食管反流 支气管狭窄 肺恶性肿瘤
84,慢性阻塞性肺疾病,心律失常 心力衰竭 心包积液 房间隔缺损 二尖瓣关闭不全 二尖瓣狭窄 肥厚性心肌病 静脉血栓症 高血压 肺栓塞
253,间质性肺病,特发性间质性肺炎 间质性肺病 结节病 细支气管炎 支气管哮喘 肺肉芽肿 支气管狭窄 职业性过敏性肺泡炎 肺结核 肺曲霉菌病
225,腹部良性肿瘤,子宫颈上皮内瘤变 输卵管积水 子宫平滑肌瘤 腹部良性肿瘤 卵巢良性肿瘤 子宫内膜息肉 腹内疝 骨关节病 贫血 膀胱恶性肿瘤
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 颈动脉狭窄 颈动脉硬化 肾动脉狭窄 颅内动脉瘤 肺良性肿瘤 重症肌无力 低血压 膀胱炎 脑卒中
24,冠状动脉粥样硬化性心脏病,低血压 糖尿病 尿潴留 食管良性肿瘤 冠状动脉粥样硬化性心脏病 鼻窦瘘 白血病 贫血 骨关节病 心力衰竭
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 颈动脉硬化 腹内疝 肝豆状核变性 心脏神经症 肺栓塞 胸腔积液 心力衰竭 血管迷走性晕厥 心包积液
258,陈旧性膝前十字韧带断裂,股骨颈骨折 结核性腹膜炎 陈旧性膝前十字韧带断裂 膝关节病 膝关节前十字韧带完全断裂 胃潴留 膝关节半月板损伤 贫血 霍奇金淋巴瘤 类风湿性关节炎
107,溃疡性结肠炎,小肠良性肿瘤 肠梗阻 溃疡性结肠炎 结核性腹膜炎 胃恶性肿瘤 胃潴留 腹部恶性肿瘤 腹内疝 子宫平滑肌瘤 食管良性肿瘤
136,糖尿病,糖尿病 糖耐量异常 静脉血栓症 脂肪肝 肛瘘 血管迷走性晕厥 尿潴留 男性不育症 高血压 混合痔
232,膝关节半月板损伤,陈旧性膝前十字韧带断裂 膝关节前十字韧带完全断裂 膝关节半月板损伤 颈部血管瘤 气管炎 尿道损伤 颅内损伤 精索静脉曲张 肛瘘 静脉血栓症
47,子宫平滑肌瘤,子宫平滑肌瘤 小脑扁桃体下疝畸形 颈部血管瘤 子宫内膜息肉 卵巢良性肿瘤 小肠良性肿瘤 库欣综合征 乳腺良性肿瘤 室间隔缺损 腹部良性肿瘤
285,鼻窦瘘,鼻窦瘘 鼻窦炎 食管良性肿瘤 男性不育症 胆囊息肉 周期性瘫痪 喉恶性肿瘤 肝豆状核变性 腰椎间盘突出 颈椎病
269,颈椎病,颈椎病 腰椎管狭窄 膝关节病 食管恶性肿瘤 肺良性肿瘤 肾恶性肿瘤 小脑扁桃体下疝畸形 房间隔缺损 食管良性肿瘤 急性腹膜炎
125,白内障,白内障 视网膜脱离 腹部开放性损伤 颈部血管瘤 玻璃体积血 颅内损伤 子宫内膜息肉 食管良性肿瘤 混合痔 多发性硬化
198,胆石症,腹内疝 急性胰腺炎 胆石症 胆道感染 食管良性肿瘤 特发性血小板减少性紫癜 食管恶性肿瘤 颈椎病 胃息肉 腹部恶性肿瘤
119,男性不育症,男性不育症 腹部开放性损伤 精索静脉曲张 膝关节半月板损伤 肛瘘 颅内损伤 尿道损伤 子宫内膜息肉 陈旧性膝前十字韧带断裂 乳腺恶性肿瘤
130,睡眠呼吸暂停低通气综合征,睡眠呼吸暂停低通气综合征 鼾症 子宫内膜息肉 腹内疝 食管良性肿瘤 颈部血管瘤 骨质疏松 乳腺恶性肿瘤 子宫平滑肌瘤 心包积液
10,乳腺良性肿瘤,乳腺良性肿瘤 骨关节病 乳腺恶性肿瘤 鼻窦瘘 子宫内膜息肉 玻璃体积血 子宫颈上皮内瘤变 甲状腺肿 子宫平滑肌瘤 腹部良性肿瘤
67,心律失常,心律失常 二尖瓣脱垂 糖耐量异常 鼻窦瘘 食管良性肿瘤 低血压 高脂血症 低血糖症 颈动脉硬化 甲状腺功能亢进症
225,腹部良性肿瘤,急性胰腺炎 静脉血栓症 房间隔缺损 脑卒中 卵巢良性肿瘤 急性腹膜炎 腹内疝 脾脏损伤 腹部恶性肿瘤 肺栓塞
168,肺炎,肺炎 细支气管炎 小肠良性肿瘤 血小板减少 二尖瓣脱垂 液气胸 支气管炎 房间隔缺损 霍奇金淋巴瘤 病毒性脑膜炎
168,肺炎,急性气管支气管炎 支气管恶性肿瘤 结节病 肺炎 肺泡蛋白沉着症 慢性阻塞性肺疾病 肺恶性肿瘤 肺结核 间质性肺病 支气管哮喘
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 心力衰竭 房间隔缺损 心肌炎 胸腔积液 肺部感染 呼吸衰竭 贫血 食管恶性肿瘤 胃恶性肿瘤
136,糖尿病,糖尿病 糖耐量异常 胃潴留 神经痛 食管恶性肿瘤 静脉血栓症 结肠息肉 胃息肉 尿潴留 低血压
269,颈椎病,颈椎病 跟腱断裂 神经痛 多发性硬化 骨关节病 乳腺良性肿瘤 膝关节半月板损伤 颈部血管瘤 股骨颈骨折 鼻窦瘘
65,心包炎,心包炎 慢性肾功能不全 急性肾衰竭 低血压 肾盂肾炎 肺部感染 肺结核 肺炎 胸腔积液 血管炎
44,大隐静脉曲张,大隐静脉曲张 毛细血管扩张症 下肢静脉曲张 静脉血栓症 子宫内膜息肉 子宫颈上皮内瘤变 食管良性肿瘤 子宫平滑肌瘤 卵巢良性肿瘤 骨质疏松
67,心律失常,心律失常 房间隔缺损 二尖瓣脱垂 颈动脉硬化 膀胱恶性肿瘤 肥厚性心肌病 血小板减少 糖尿病 低血压 高血压
46,子宫内膜息肉,子宫内膜息肉 腹部良性肿瘤 卵巢良性肿瘤 输尿管狭窄 骨关节病 胃炎 骨质疏松 尿潴留 胃食管反流 肾结石
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 冠状动脉狭窄 肥厚性心肌病 子宫内膜息肉 膝关节病 颅内损伤 心律失常 心肌炎 颈动脉硬化 心脏神经症
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 室间隔缺损 急性腹膜炎 脾脏损伤 食管恶性肿瘤 低血压 气胸 前列腺恶性肿瘤 心力衰竭 腹内疝
146,结肠息肉,结肠息肉 结肠良性肿瘤 胃肠功能紊乱 颈动脉硬化 直肠息肉 食管良性肿瘤 胃炎 食管恶性肿瘤 心脏神经症 冠状动脉狭窄
211,脑卒中,脑卒中 急性肾衰竭 肾恶性肿瘤 腹内疝 食管恶性肿瘤 肾病综合征 冠状动脉粥样硬化性心脏病 肺良性肿瘤 慢性肾功能不全 急性腹膜炎
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 肾动脉狭窄 前列腺恶性肿瘤 颈动脉硬化 颈动脉狭窄 前列腺增生 低血压 主动脉夹层 肺肉芽肿 上消化道出血
38,呼吸衰竭,呼吸衰竭 尿潴留 膀胱恶性肿瘤 主动脉夹层 脑炎 尿道损伤 上消化道出血 肺部感染 食管恶性肿瘤 心力衰竭
198,胆石症,低血压 颈动脉硬化 胆石症 喉恶性肿瘤 男性不育症 食管良性肿瘤 帕金森病 心律失常 颈部血管瘤 血管迷走性晕厥
79,急性肾衰竭,肾积水 输尿管狭窄 急性肾衰竭 慢性肾功能不全 脑膜良性肿瘤 膀胱炎 慢性腹泻 肾恶性肿瘤 输尿管结石 膀胱恶性肿瘤
158,肩袖损伤,肩袖损伤 膝关节半月板损伤 陈旧性膝前十字韧带断裂 尿潴留 静脉血栓症 股骨颈骨折 糖尿病 膝关节前十字韧带完全断裂 皮层下动脉硬化性脑病 神经痛
168,肺炎,过敏性肺炎 支气管哮喘 结节病 嗜酸粒细胞增多综合征 肺血管炎 支气管炎 多发性硬化 肺曲霉菌病 肺炎 慢性腹泻
244,输卵管积水,输卵管积水 子宫颈上皮内瘤变 卵巢良性肿瘤 子宫平滑肌瘤 腹部良性肿瘤 颈部血管瘤 子宫内膜息肉 IgA肾病 二尖瓣脱垂 肾小球肾炎
91,支气管炎,支气管扩张症 肺血管畸形 过敏性肺炎 胃肠功能紊乱 低血氧症 肺良性肿瘤 肺动脉高压 骨关节病 胃炎 病毒性肺炎
47,子宫平滑肌瘤,子宫平滑肌瘤 子宫颈上皮内瘤变 膝关节病 血小板减少 膀胱恶性肿瘤 腹部良性肿瘤 肾积水 前列腺恶性肿瘤 贫血 房间隔缺损
241,视网膜脱离,视网膜脱离 玻璃体积血 肝豆状核变性 腹内疝 食管良性肿瘤 白内障 尿潴留 前列腺恶性肿瘤 输尿管狭窄 颈动脉硬化
231,膝关节前十字韧带完全断裂,陈旧性膝前十字韧带断裂 膝关节前十字韧带完全断裂 霍奇金淋巴瘤 血管炎 腹部开放性损伤 食管良性肿瘤 气胸 男性不育症 颈椎病 腰椎间盘突出
158,肩袖损伤,肩袖损伤 股骨颈骨折 膝关节半月板损伤 子宫内膜息肉 神经痛 子宫颈上皮内瘤变 腰椎间盘突出 骨关节病 混合痔 陈旧性膝前十字韧带断裂
46,子宫内膜息肉,子宫内膜息肉 输卵管积水 食管良性肿瘤 子宫颈上皮内瘤变 膝关节半月板损伤 肩袖损伤 输尿管狭窄 肺良性肿瘤 鼻窦瘘 陈旧性膝前十字韧带断裂
103,消化性溃疡,消化性溃疡 下消化道出血 上消化道出血 胃恶性肿瘤 小肠恶性肿瘤 颈动脉狭窄 食管恶性肿瘤 脑卒中 膝关节病 颈动脉硬化
282,高血压,高血压 霍奇金淋巴瘤 肺栓塞 心力衰竭 主动脉瓣狭窄 男性不育症 二尖瓣脱垂 静脉血栓症 肥厚性心肌病 风湿性二尖瓣狭窄伴关闭不全
98,椎-基底动脉供血不全,低血压 椎-基底动脉供血不全 短暂性脑缺血发作 脑动脉供血不足 良性阵发性位置性眩晕 脑卒中 皮层下动脉硬化性脑病 糖耐量异常 肝豆状核变性 多发性硬化
245,输尿管狭窄,膀胱炎 肾结石 输尿管狭窄 输尿管结石 前列腺炎 膀胱结石 膀胱恶性肿瘤 肾盂肾炎 肾积水 结节病
24,冠状动脉粥样硬化性心脏病,低血压 冠状动脉粥样硬化性心脏病 颈动脉硬化 高血压 皮层下动脉硬化性脑病 脑动脉粥样硬化 颈动脉狭窄 颈部血管瘤 良性阵发性位置性眩晕 心脏神经症
136,糖尿病,血管炎 尿潴留 肺间质纤维化 胃食管反流 急性胰腺炎 肺结核 支气管炎 冠状动脉狭窄 糖尿病 冠状动脉粥样硬化性心脏病
168,肺炎,肺炎 细支气管炎 病毒性脑膜炎 支气管炎 病毒性肺炎 心肌炎 输卵管积水 卵巢良性肿瘤 多发性末梢神经炎 癫癎
258,陈旧性膝前十字韧带断裂,陈旧性膝前十字韧带断裂 膝关节前十字韧带完全断裂 股骨颈骨折 膝关节半月板损伤 子宫内膜息肉 子宫颈上皮内瘤变 食管良性肿瘤 心脏神经症 肩袖损伤 淋巴结炎
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 心肌炎 心脏神经症 胃潴留 低血糖症 气胸 心律失常 肥厚性心肌病 多发性骨髓瘤 冠状动脉狭窄
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 多发性硬化 心脏神经症 颈动脉硬化 高血压 肝豆状核变性 肥厚性心肌病 烟雾病 高脂血症 胃食管反流
47,子宫平滑肌瘤,肾结石 子宫平滑肌瘤 输尿管结石 卵巢良性肿瘤 尿潴留 附睾炎 血管炎 子宫颈上皮内瘤变 子宫内膜息肉 尿道损伤
135,精索静脉曲张,男性不育症 精索静脉曲张 食管良性肿瘤 颈椎病 肛瘘 肾恶性肿瘤 输尿管狭窄 腹部开放性损伤 腹部良性肿瘤 输尿管结石
45,妊娠期糖尿病,妊娠期糖尿病 糖尿病 膀胱炎 输尿管狭窄 糖尿病性周围神经病 胸腔积液 肾病综合征 贫血 腹部恶性肿瘤 食管恶性肿瘤
30,卵巢良性肿瘤,子宫颈上皮内瘤变 子宫内膜息肉 子宫平滑肌瘤 腹部良性肿瘤 卵巢良性肿瘤 股骨颈骨折 输卵管积水 乳腺恶性肿瘤 混合痔 乳腺良性肿瘤
126,白血病,心内膜炎 白血病 腹内疝 血小板减少 骨髓增生异常综合征 贫血 脑炎 淋巴结炎 病毒性肺炎 肾盂肾炎
26,前列腺恶性肿瘤,前列腺增生 急性肾衰竭 尿潴留 前列腺恶性肿瘤 膀胱恶性肿瘤 慢性肾功能不全 食管恶性肿瘤 肾积水 肾恶性肿瘤 输尿管狭窄
258,陈旧性膝前十字韧带断裂,陈旧性膝前十字韧带断裂 膝关节前十字韧带完全断裂 膝关节半月板损伤 食管良性肿瘤 男性不育症 精索静脉曲张 腹内疝 骨关节病 输尿管狭窄 尿道损伤
232,膝关节半月板损伤,膝关节半月板损伤 腹部开放性损伤 股骨颈骨折 陈旧性膝前十字韧带断裂 精索静脉曲张 液气胸 肾损伤 膝关节病 男性不育症 膝关节前十字韧带完全断裂
130,睡眠呼吸暂停低通气综合征,睡眠呼吸暂停低通气综合征 鼾症 腹部开放性损伤 男性不育症 颅内损伤 脑炎 颈动脉硬化 鼻窦炎 颈部血管瘤 精索静脉曲张
24,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病 冠状动脉狭窄 血管迷走性晕厥 低血氧症 颈动脉硬化 高血压 心包积液 心脏神经症 心包炎 食管良性肿瘤
162,肺恶性肿瘤,肝恶性肿瘤 胰腺恶性肿瘤 胸腔积液 心包积液 肺恶性肿瘤 心包炎 冠状动脉粥样硬化性心脏病 胆道感染 肺部感染 肺脓肿
116,甲状腺恶性肿瘤,颈部血管瘤 甲状腺恶性肿瘤 甲状腺肿 乳腺恶性肿瘤 甲状腺炎 输尿管狭窄 库欣综合征 骨关节病 烟雾病 乳腺良性肿瘤
47,子宫平滑肌瘤,子宫平滑肌瘤 子宫内膜息肉 胃潴留 静脉血栓症 贫血 骨髓增生异常综合征 尿潴留 消化性溃疡 肾积水 胃炎
125,白内障,白内障 视网膜脱离 玻璃体积血 子宫颈上皮内瘤变 子宫内膜息肉 抗磷脂综合征 输尿管狭窄 紧张型头痛 淋巴结炎 脑疝
84,慢性阻塞性肺疾病,肺血管畸形 炎症后肺间质纤维化 支气管恶性肿瘤 慢性阻塞性肺疾病 支气管哮喘 嗜酸粒细胞增多综合征 支气管炎 支气管扩张症 肺炎 肺泡蛋白沉着症
233,膝关节病,膝关节病 肾结石 肺肉芽肿 肾积水 输尿管结石 肺良性肿瘤 输尿管狭窄 肾恶性肿瘤 脑膜良性肿瘤 食管恶性肿瘤
106,混合痔,混合痔 腹外疝 颈部血管瘤 骨关节病 输尿管狭窄 直肠脱垂 乳腺良性肿瘤 颅内损伤 乳腺恶性肿瘤 特发性间质性肺炎
207,脑动脉供血不足,脂肪肝 高血压 脑动脉供血不足 颈动脉硬化 鼻窦炎 短暂性脑缺血发作 脑动脉粥样硬化 颅内动脉瘤 良性阵发性位置性眩晕 椎-基底动脉供血不全
132,短暂性脑缺血发作,脑卒中 短暂性脑缺血发作 椎-基底动脉供血不全 癫癎 糖尿病 痴呆 冠状动脉粥样硬化性心脏病 病毒性脑膜炎 输尿管结石 低血压
207,脑动脉供血不足,脑动脉供血不足 脑动脉粥样硬化 皮层下动脉硬化性脑病 良性阵发性位置性眩晕 低血压 短暂性脑缺血发作 高血压 椎-基底动脉供血不全 冠状动脉狭窄 脑卒中
267,颈动脉狭窄,输尿管结石 肾结石 血管迷走性晕厥 食管良性肿瘤 乳腺恶性肿瘤 肺良性肿瘤 输尿管狭窄 鼻窦炎 颈动脉狭窄 膝关节病
219,腰椎间盘突出,腰椎间盘突出 腰椎管狭窄 肺良性肿瘤 胆石症 肝恶性肿瘤 腹部恶性肿瘤 肾恶性肿瘤 腹内疝 小脑扁桃体下疝畸形 霍奇金淋巴瘤
24,冠状动脉粥样硬化性心脏病,肾积水 多发性骨髓瘤 病毒性肺炎 心力衰竭 肾动脉狭窄 胃潴留 肺部感染 骨髓增生异常综合征 慢性肾功能不全 呼吸衰竭
4,下肢静脉曲张,下肢静脉曲张 大隐静脉曲张 静脉血栓症 子宫内膜息肉 颈部血管瘤 子宫颈上皮内瘤变 颅内损伤 子宫平滑肌瘤 混合痔 血管迷走性晕厥
211,脑卒中,脑卒中 特发性间质性肺炎 短暂性脑缺血发作 支气管炎 脑动脉供血不足 肺恶性肿瘤 过敏性肺炎 急性胰腺炎 颅内动脉瘤 心包积液
88,支气管哮喘,支气管哮喘 肺恶性肿瘤 特发性间质性肺炎 食管恶性肿瘤 颅内动脉瘤 子宫平滑肌瘤 肾结石 肺肉芽肿 过敏性肺炎 支气管扩张症
113,玻璃体积血,玻璃体积血 糖尿病 视网膜脱离 颅内损伤 尿潴留 输尿管狭窄 子宫内膜息肉 脑膜良性肿瘤 肩袖损伤 神经痛
175,肺部感染,支气管扩张症 细支气管炎 弥漫性肺间质疾病 急性气管支气管炎 肺脓肿 肺间质纤维化 慢性阻塞性肺疾病 支气管炎 肺恶性肿瘤 肺曲霉菌病
158,肩袖损伤,肩袖损伤 膝关节半月板损伤 股骨颈骨折 陈旧性膝前十字韧带断裂 静脉血栓症 颅内损伤 神经痛 膝关节前十字韧带完全断裂 子宫内膜息肉 妊娠期糖尿病
238,血管炎,骨关节病 胃食管反流 胃炎 前列腺恶性肿瘤 鼻窦瘘 输尿管结石 低钾血症 强直性脊柱炎 膀胱结石 鞘膜积液
130,睡眠呼吸暂停低通气综合征,睡眠呼吸暂停低通气综合征 鼾症 颈部血管瘤 脑炎 腹部开放性损伤 颈动脉硬化 精索静脉曲张 胸膜病变 男性不育症 细支气管炎
232,膝关节半月板损伤,膝关节半月板损伤 子宫内膜息肉 子宫颈上皮内瘤变 混合痔 食管良性肿瘤 膝关节病 输尿管狭窄 颅内损伤 肩袖损伤 乳腺恶性肿瘤
231,膝关节前十字韧带完全断裂,陈旧性膝前十字韧带断裂 膝关节前十字韧带完全断裂 腹部开放性损伤 膝关节半月板损伤 强直性脊柱炎 骨关节病 食管良性肿瘤 血管炎 股骨颈骨折 腹内疝
116,甲状腺恶性肿瘤,甲状腺恶性肿瘤 甲状腺肿 甲状腺炎 肾恶性肿瘤 腰椎间盘突出 二尖瓣脱垂 弥漫性肺间质疾病 肾结石 腹部恶性肿瘤 库欣综合征
158,肩袖损伤,肩袖损伤 尿道结石 食管良性肿瘤 脑动脉粥样硬化 子宫内膜息肉 气管炎 静脉血栓症 子宫颈上皮内瘤变 股骨颈骨折 膝关节半月板损伤
22,冠状动脉狭窄,冠状动脉粥样硬化性心脏病 冠状动脉狭窄 输尿管狭窄 血管迷走性晕厥 脑动脉粥样硬化 心律失常 心包积液 高血压 糖尿病 直肠脱垂
