标签,疾病名字,top3,top5,top8,top10,备注：该类别训练样本数
74.0,ALK阳性间变性大细胞淋巴瘤,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
75.0,ALK阴性间变性大细胞淋巴瘤,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
76.0,ANCA相关性小血管炎,0.06(2/30),0.06(2/30),0.13(4/30),0.13(4/30),218
77.0,A型预激综合征,0.74(20/27),1.0(27/27),1.0(27/27),1.0(27/27),10
78.0,Brugada波样心电图改变,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),2
79.0,B型预激综合征,0.0(0/36),0.33(12/36),0.33(12/36),0.33(12/36),4
80.0,B族链球菌败血症,1.0(40/40),1.0(40/40),1.0(40/40),1.0(40/40),1
81.0,B细胞淋巴瘤,0.42(12/28),0.57(16/28),0.57(16/28),0.75(21/28),12
82.0,CA125升高,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
83.0,CA199升高,1.0(14/14),1.0(14/14),1.0(14/14),1.0(14/14),9
84.0,CEA升高,0.06(2/30),0.06(2/30),0.06(2/30),0.06(2/30),14
85.0,Castleman病,0.72(21/29),0.72(21/29),0.72(21/29),0.72(21/29),5
86.0,EB病毒性单核细胞增多症,0.56(21/37),0.56(21/37),0.56(21/37),0.56(21/37),2
87.0,EB病毒感染,0.5(12/24),0.58(14/24),0.79(19/24),0.79(19/24),100
88.0,HELLP综合征,0.07(3/39),0.07(3/39),0.07(3/39),0.20(8/39),10
89.0,IgA肾病,0.38(10/26),0.42(11/26),0.57(15/26),0.57(15/26),34
90.0,IgG4相关性疾病,0.48(13/27),0.48(13/27),0.55(15/27),0.55(15/27),16
91.0,I型呼吸衰竭,0.41(15/36),0.41(15/36),0.41(15/36),0.41(15/36),6
92.0,Kimurus病(伴嗜酸性白细胞的血管增生),0.39(13/33),0.39(13/33),0.39(13/33),0.39(13/33),2
93.0,Mirrizi综合征,0.23(10/43),0.23(10/43),0.39(17/43),0.39(17/43),6
94.0,PSA升高,0.04(1/24),0.08(2/24),0.12(3/24),0.12(3/24),145
95.0,Pilon骨折,0.51(16/31),0.51(16/31),0.51(16/31),0.64(20/31),7
96.0,R-R长间歇,0.44(13/29),0.48(14/29),0.62(18/29),0.62(18/29),28
97.0,Rh血型不合,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),2
98.0,Rh阴性抗D抗体异常,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),1
99.0,SAPHO综合征,0.5(13/26),0.5(13/26),0.5(13/26),0.5(13/26),2
100.0,T型引流管置换,0.0(0/32),0.0(0/32),0.0(0/32),0.06(2/32),517
101.0,T淋巴母细胞白血病/淋巴瘤,0.0(0/44),0.0(0/44),0.18(8/44),0.18(8/44),6
102.0,T细胞淋巴瘤,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
103.0,Vogt-小柳原田综合征,0.0(0/37),0.0(0/37),0.10(4/37),0.21(8/37),12
104.0,X综合征,0.41(10/24),0.54(13/24),0.66(16/24),0.70(17/24),88
105.0,β型地中海贫血,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
106.0,Ⅱ型呼吸衰竭,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),5
107.0,Ⅳ度压疮,0.72(21/29),0.72(21/29),0.72(21/29),0.72(21/29),4
108.0,一度房室阻滞,0.59(19/32),0.59(19/32),0.59(19/32),0.59(19/32),6
109.0,一氧化碳中毒,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),185
110.0,一氧化碳中毒后遗症,0.62(15/24),0.83(20/24),0.87(21/24),0.87(21/24),18
111.0,一氧化碳中毒迟发性脑病,0.91(21/23),0.95(22/23),1.0(23/23),1.0(23/23),623
112.0,一过性意识丧失,0.80(21/26),0.80(21/26),0.80(21/26),1.0(26/26),4
113.0,三叉神经带状疱疹,0.57(20/35),0.57(20/35),0.57(20/35),0.57(20/35),2
114.0,三叉神经痛,0.19(7/36),0.19(7/36),0.33(12/36),0.33(12/36),9
115.0,三叉神经良性肿瘤,1.0(23/23),1.0(23/23),1.0(23/23),1.0(23/23),1
116.0,三叉神经麻痹,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
117.0,三尖瓣关闭不全,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),4
118.0,三尖瓣狭窄伴关闭不全,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),2
119.0,三尖瓣病,1.0(36/36),1.0(36/36),1.0(36/36),1.0(36/36),1
120.0,三度房室传导阻滞,0.0(0/36),0.0(0/36),0.02(1/36),0.02(1/36),160
121.0,三氯乙烯中毒,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),5
122.0,三环抗抑郁药中毒,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
123.0,三踝骨折,0.78(18/23),0.86(20/23),0.86(20/23),0.86(20/23),47
124.0,上呼吸道感染,0.6(12/20),0.7(14/20),0.8(16/20),0.8(16/20),52
125.0,上呼吸道淀粉样变性,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
126.0,上呼吸道过敏反应,1.0(42/42),1.0(42/42),1.0(42/42),1.0(42/42),1
127.0,上气道阻力综合征,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),1
128.0,上消化道出血,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),152
129.0,上消化道溃疡伴穿孔,0.57(20/35),0.57(20/35),0.57(20/35),0.57(20/35),14
130.0,上睑下垂,0.20(6/29),0.27(8/29),0.27(8/29),0.37(11/29),20
131.0,上肢伴下肢多发性骨折,0.53(17/32),0.53(17/32),0.53(17/32),0.53(17/32),2
132.0,上肢假性动脉瘤,0.51(15/29),0.51(15/29),0.79(23/29),0.79(23/29),4
133.0,上肢动脉栓塞,0.71(15/21),0.71(15/21),0.85(18/21),0.85(18/21),14
134.0,上肢动脉瘤,0.0(0/30),0.26(8/30),0.26(8/30),0.26(8/30),3
135.0,上肢动脉闭塞,0.5(17/34),0.5(17/34),0.5(17/34),0.5(17/34),2
136.0,上肢周围神经和自主神经恶性肿瘤,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
137.0,上肢坏疽,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
138.0,上肢开放性骨折,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
139.0,上肢恶性肿瘤,1.0(20/20),1.0(20/20),1.0(20/20),1.0(20/20),1
140.0,上肢感染,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
141.0,上肢深静脉血栓形成,0.75(22/29),0.75(22/29),0.75(22/29),0.75(22/29),7
142.0,上肢皮肤原位癌,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
143.0,上肢皮肤坏死,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
144.0,上肢皮肤恶性肿瘤,0.0(0/34),0.0(0/34),0.0(0/34),1.0(34/34),1
145.0,上肢皮肤良性肿瘤,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),3
146.0,上肢端结缔组织良性肿瘤,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),1
147.0,上肢结缔组织恶性肿瘤,0.44(11/25),0.44(11/25),0.68(17/25),1.0(25/25),3
148.0,上肢结缔组织良性肿瘤,0.03(1/29),0.03(1/29),0.03(1/29),0.03(1/29),19
149.0,上肢继发恶性肿瘤,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),3
150.0,上肢肿物,0.03(1/31),0.03(1/31),0.03(1/31),0.03(1/31),34
151.0,上肢脂肪瘤,0.0(0/25),0.04(1/25),0.04(1/25),0.04(1/25),62
152.0,上肢良性肿瘤,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),14
153.0,上肢血栓性静脉炎,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
154.0,上肢软组织恶性肿瘤,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),1
155.0,上肢震颤,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),1
156.0,上肢静脉瘤,0.4(12/30),0.4(12/30),0.4(12/30),0.4(12/30),3
157.0,上肢静脉血栓形成,0.25(8/31),0.25(8/31),0.25(8/31),0.25(8/31),5
158.0,上肢骨交界性肿瘤,0.0(0/40),0.0(0/40),0.0(0/40),0.0(0/40),1
159.0,上肢骨折,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
160.0,上肢骨继发恶性肿瘤,0.59(13/22),0.59(13/22),0.59(13/22),0.59(13/22),8
161.0,上腔静脉梗阻,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),2
162.0,上腔静脉阻塞综合征,0.11(4/35),0.11(4/35),0.17(6/35),0.17(6/35),12
163.0,上腹痛,0.67(19/28),0.67(19/28),1.0(28/28),1.0(28/28),4
164.0,上颌窦囊肿,0.41(12/29),0.41(12/29),0.41(12/29),0.41(12/29),4
165.0,上颌窦息肉,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
166.0,上颌窦恶性肿瘤,1.0(31/31),1.0(31/31),1.0(31/31),1.0(31/31),1
167.0,上颌窦炎,0.76(19/25),0.76(19/25),0.8(20/25),0.8(20/25),11
168.0,上颌窦筛窦炎,0.55(16/29),0.55(16/29),0.62(18/29),0.72(21/29),14
169.0,上颌窦良性肿瘤,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),6
170.0,上颌窦蝶窦炎,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),1
171.0,上颌骨交界性肿瘤,0.21(8/37),0.21(8/37),0.21(8/37),0.21(8/37),4
172.0,上颌骨囊肿,0.41(13/31),0.41(13/31),0.48(15/31),0.48(15/31),13
173.0,下咽恶性肿瘤,0.0(0/34),0.11(4/34),0.11(4/34),0.26(9/34),7
174.0,下消化道出血,0.02(1/35),0.05(2/35),0.05(2/35),0.05(2/35),52
175.0,下牙龈恶性肿瘤,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),1
176.0,下肢供血不足,0.44(11/25),0.72(18/25),0.72(18/25),0.72(18/25),9
177.0,下肢假性动脉瘤,0.21(7/32),0.21(7/32),0.21(7/32),0.43(14/32),4
178.0,下肢关节脱位,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
179.0,下肢创伤性切断,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),1
180.0,下肢动脉栓塞,0.15(5/33),0.42(14/33),0.60(20/33),0.60(20/33),47
181.0,下肢动脉狭窄,0.02(1/35),0.02(1/35),0.02(1/35),0.02(1/35),48
182.0,下肢动脉粥样硬化性坏疽,0.12(5/39),0.12(5/39),0.12(5/39),0.12(5/39),9
183.0,下肢动脉粥样硬化闭塞症,0.0(0/28),0.28(8/28),0.78(22/28),0.85(24/28),223
184.0,下肢动脉血栓形成,0.08(3/36),0.08(3/36),0.19(7/36),0.41(15/36),21
185.0,下肢动静脉瘘,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),2
186.0,下肢周围神经和自主神经良性肿瘤,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),2
187.0,下肢坏疽,0.57(16/28),0.57(16/28),0.57(16/28),0.85(24/28),10
188.0,下肢外生骨疣,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),1
189.0,下肢干性坏疽,0.0(0/26),0.0(0/26),0.0(0/26),0.0(0/26),1
190.0,下肢开放性损伤后遗症,0.0(0/26),0.0(0/26),1.0(26/26),1.0(26/26),1
191.0,下肢恶性肿瘤,0.28(7/25),0.52(13/25),0.72(18/25),0.72(18/25),6
192.0,下肢恶性黑色素瘤,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),1
193.0,下肢撕裂伤,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),3
194.0,下肢水肿,0.07(3/38),0.13(5/38),0.13(5/38),0.26(10/38),13
195.0,下肢浅静脉炎,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
196.0,下肢深静脉栓塞,1.0(22/22),1.0(22/22),1.0(22/22),1.0(22/22),1
197.0,下肢深静脉血栓形成,0.02(1/36),0.38(14/36),0.72(26/36),0.72(26/36),303
198.0,下肢深静脉血栓性静脉炎,0.78(18/23),0.78(18/23),0.78(18/23),0.78(18/23),9
199.0,下肢湿性坏疽,1.0(33/33),1.0(33/33),1.0(33/33),1.0(33/33),1
200.0,下肢溃疡,0.0(0/43),0.0(0/43),0.0(0/43),0.0(0/43),1
201.0,下肢皮肤原位癌,0.53(14/26),0.53(14/26),0.53(14/26),0.53(14/26),3
202.0,下肢皮肤恶性肿瘤,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),1
203.0,下肢皮肤感染,0.75(21/28),0.75(21/28),0.75(21/28),0.75(21/28),8
204.0,下肢皮肤缺损,0.0(0/36),0.0(0/36),0.0(0/36),1.0(36/36),1
205.0,下肢皮肤良性肿瘤,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),1
206.0,下肢纤维瘤病,0.0(0/34),0.0(0/34),0.0(0/34),0.0(0/34),1
207.0,下肢结缔组织交界性肿瘤,0.0(0/32),0.0(0/32),0.53(17/32),0.53(17/32),2
208.0,下肢结缔组织恶性肿瘤,0.19(5/26),0.23(6/26),0.38(10/26),0.38(10/26),17
209.0,下肢结缔组织良性肿瘤,0.23(8/34),0.23(8/34),0.23(8/34),0.23(8/34),8
210.0,下肢继发恶性肿瘤,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
211.0,下肢肌肉损伤,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
212.0,下肢肌肉血肿,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),1
213.0,下肢肿物,0.94(16/17),1.0(17/17),1.0(17/17),1.0(17/17),59
214.0,下肢肿胀,0.44(17/38),0.44(17/38),0.44(17/38),0.44(17/38),3
215.0,下肢脂肪瘤,0.0(0/32),0.0(0/32),0.0(0/32),0.0(0/32),43
216.0,下肢良性肿瘤,0.0(0/33),0.0(0/33),0.0(0/33),0.0(0/33),9
217.0,下肢血栓性静脉炎,0.13(4/30),0.16(5/30),0.36(11/30),0.5(15/30),12
218.0,下肢软组织恶性肿瘤,0.0(0/31),0.0(0/31),1.0(31/31),1.0(31/31),1
219.0,下肢软组织感染,0.34(9/26),0.38(10/26),0.5(13/26),0.5(13/26),21
220.0,下肢长骨恶性肿瘤,0.0(0/27),0.0(0/27),1.0(27/27),1.0(27/27),1
221.0,下肢长骨良性肿瘤,0.0(0/28),0.0(0/28),0.0(0/28),0.0(0/28),1
222.0,下肢静脉功能不全,0.75(18/24),0.79(19/24),0.91(22/24),0.95(23/24),31
223.0,下肢静脉回流障碍,0.93(31/33),1.0(33/33),1.0(33/33),1.0(33/33),5
224.0,下肢静脉曲合并溃疡,0.5(15/30),1.0(30/30),1.0(30/30),1.0(30/30),4
225.0,下肢静脉曲张,0.0(0/34),0.0(0/34),0.67(23/34),0.73(25/34),72
226.0,下肢静脉曲张合并静脉炎,0.03(1/30),0.36(11/30),0.86(26/30),0.86(26/30),109
227.0,下肢静脉曲张溃疡及炎症,0.5(13/26),0.57(15/26),0.57(15/26),0.76(20/26),10
228.0,下肢静脉炎,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),3
229.0,下肢静脉瘤,1.0(30/30),1.0(30/30),1.0(30/30),1.0(30/30),1
230.0,下肢静脉血栓形成,0.0(0/36),0.02(1/36),0.16(6/36),0.19(7/36),75
231.0,下肢静脉阻塞,1.0(26/26),1.0(26/26),1.0(26/26),1.0(26/26),1
232.0,下肢骨交界性肿瘤,1.0(25/25),1.0(25/25),1.0(25/25),1.0(25/25),1
233.0,下背开放性损伤,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),1
234.0,下背软组织损伤,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),2
235.0,下腔静脉后输尿管,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),3
236.0,下腔静脉恶性肿瘤,1.0(32/32),1.0(32/32),1.0(32/32),1.0(32/32),1
237.0,下腔静脉损伤,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
238.0,下腔静脉栓塞,1.0(29/29),1.0(29/29),1.0(29/29),1.0(29/29),1
239.0,下腔静脉狭窄,0.0(0/38),0.0(0/38),0.0(0/38),0.0(0/38),5
240.0,下腔静脉血栓形成,0.86(19/22),0.86(19/22),0.86(19/22),0.86(19/22),9
241.0,下腔静脉阻塞综合征,1.0(39/39),1.0(39/39),1.0(39/39),1.0(39/39),1
242.0,下腹痛,0.15(5/32),0.15(5/32),0.15(5/32),0.15(5/32),7
243.0,下颌下腺囊肿,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),4
244.0,下颌下腺导管结石,0.35(11/31),0.35(11/31),0.58(18/31),0.58(18/31),3
245.0,下颌下腺恶性肿瘤,1.0(21/21),1.0(21/21),1.0(21/21),1.0(21/21),2
246.0,下颌下腺淋巴管瘤,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),1
247.0,下颌下腺炎,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),1
248.0,下颌下腺脂肪瘤,0.57(16/28),0.57(16/28),0.57(16/28),0.57(16/28),2
249.0,下颌骨体骨折,0.0(0/31),0.0(0/31),0.0(0/31),0.0(0/31),2
250.0,下颌骨囊肿,0.0(0/30),0.0(0/30),0.0(0/30),0.0(0/30),2
251.0,不可吸收性手术材料引起的机械性并发症,0.25(8/32),0.25(8/32),0.25(8/32),0.25(8/32),9
252.0,不完全医疗性流产,0.72(18/25),0.8(20/25),0.88(22/25),0.88(22/25),58
253.0,不完全医疗性流产并发出血,0.06(2/32),0.06(2/32),0.06(2/32),0.06(2/32),11
254.0,不完全医疗性流产并发盆腔感染,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),1
255.0,不完全性下肢单瘫,1.0(27/27),1.0(27/27),1.0(27/27),1.0(27/27),1
256.0,不完全性右束支传导阻滞,0.57(20/35),0.57(20/35),0.57(20/35),1.0(35/35),4
257.0,不完全性流产,0.0(0/35),0.0(0/35),0.0(0/35),0.0(0/35),5
258.0,不完全性瘫痪,1.0(24/24),1.0(24/24),1.0(24/24),1.0(24/24),3
259.0,不完全性肠梗阻,0.7(14/20),0.85(17/20),0.9(18/20),0.9(18/20),133
260.0,不完全流产并发出血,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),3
261.0,不完全自然流产,0.0(0/29),0.0(0/29),0.0(0/29),0.06(2/29),42
262.0,不完全自然流产并发出血,0.07(2/28),0.07(2/28),0.14(4/28),0.14(4/28),21
263.0,不完全自然流产并发生殖道感染,0.0(0/36),0.0(0/36),0.0(0/36),0.0(0/36),1
264.0,不完全自然流产并发盆腔感染,1.0(37/37),1.0(37/37),1.0(37/37),1.0(37/37),1
265.0,不明原因抽搐,1.0(28/28),1.0(28/28),1.0(28/28),1.0(28/28),3
266.0,不稳定性心绞痛,0.0(0/28),0.0(0/28),0.21(6/28),0.28(8/28),9340
267.0,不纯性心房扑动,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),1
268.0,不能分型的骨髓异常增生综合征,1.0(35/35),1.0(35/35),1.0(35/35),1.0(35/35),2
269.0,不自主运动,0.6(18/30),0.6(18/30),0.6(18/30),0.6(18/30),4
270.0,不良孕产个人史,1.0(18/18),1.0(18/18),1.0(18/18),1.0(18/18),1
271.0,与亲子有关的问题,0.07(2/28),0.07(2/28),0.07(2/28),0.07(2/28),28
